African American,Asian,City,Cost of Living Index,Hispanic,Median Age,Native American,Population,State,White,State Religous Index
14449.0,2929.0,Abilene,89.6,33222.0,31.3,1813.0,125876.0,Texas,95487.0,64
66551.0,9033.0,Akron,90.8,3684.0,38.1,1845.0,197553.0,Ohio,129192.0,58
53440.0,650.0,Albany,88.9,1783.0,33.3,445.0,71109.0,Georgia,17160.0,66
31303.0,8090.0,Albany,101.6,9368.0,32.8,1611.0,98452.0,New York,58368.0,46
26774.0,25140.0,Albuquerque,94.5,271854.0,36.0,32243.0,559131.0,New Mexico,411847.0,57
14050.0,8563.0,Amarillo,89.1,65392.0,33.8,4260.0,199651.0,Texas,174214.0,64
1103.0,8979.0,Ames,92.3,2024.0,23.0,,65052.0,Iowa,56157.0,55
23107.0,36825.0,Anchorage,113.6,27261.0,32.2,36339.0,298695.0,Alaska,212696.0,45
9577.0,18797.0,Ann Arbor,99.7,5888.0,28.1,1935.0,117070.0,Michigan,90173.0,53
3407.0,5561.0,Appleton,91.6,5139.0,35.6,835.0,75255.0,Wisconsin,64674.0,45
9078.0,1939.0,Asheville,105.5,4146.0,37.9,496.0,88507.0,North Carolina,77979.0,65
34583.0,6635.0,Athens,96.3,13159.0,26.5,593.0,122563.0,Georgia,79931.0,66
245367.0,24268.0,Atlanta,102.1,18653.0,33.8,4606.0,463875.0,Georgia,196316.0,66
112271.0,4429.0,Augusta,93.2,9068.0,33.7,1667.0,196579.0,Georgia,77940.0,66
81861.0,78916.0,Austin,107.7,327680.0,32.7,10890.0,931840.0,Texas,708171.0,64
34240.0,31929.0,Bakersfield,103.6,180241.0,30.6,7357.0,373627.0,California,272853.0,49
396270.0,20161.0,Baltimore,109.7,29953.0,34.7,7730.0,621849.0,Maryland,207274.0,54
122634.0,7442.0,Baton Rouge,92.3,7428.0,31.2,1119.0,228596.0,Louisiana,96730.0,71
58008.0,4079.0,Beaumont,89.6,18815.0,31.6,908.0,118110.0,Texas,53597.0,64
2325.0,8010.0,Bellingham,112.0,6966.0,30.7,2056.0,85143.0,Washington,74183.0,45
465.0,2726.0,Bend,116.3,8173.0,37.3,1818.0,87017.0,Oregon,83689.0,48
2200.0,1873.0,Billings,97.4,7526.0,36.3,6066.0,110270.0,Montana,102522.0,48
157985.0,1500.0,Birmingham,91.7,8940.0,35.6,1319.0,214911.0,Alabama,51728.0,77
1700.0,930.0,Bismarck,95.4,1667.0,38.0,4040.0,70240.0,North Dakota,64719.0,53
5133.0,9801.0,Bloomington,93.1,3643.0,23.5,912.0,83815.0,Indiana,71200.0,54
4413.0,9806.0,Boise,99.7,19480.0,34.9,4046.0,218280.0,Idaho,204913.0,51
189347.0,69976.0,Boston,135.3,130656.0,31.8,5580.0,669469.0,Massachusetts,378543.0,33
1615.0,8772.0,Boulder,123.5,9795.0,29.0,767.0,107342.0,Colorado,98243.0,47
1239.0,1589.0,Brownsville,88.8,170041.0,30.6,1165.0,183888.0,Texas,174670.0,64
101254.0,14518.0,Buffalo,97.9,29656.0,33.1,4406.0,258066.0,New York,130078.0,46
21353.0,,Canton,89.7,3597.0,33.4,358.0,71895.0,Ohio,53571.0,58
11921.0,5406.0,Cedar Rapids,89.2,5328.0,36.2,1243.0,130405.0,Iowa,116851.0,55
16163.0,11746.0,Champaign,90.6,4015.0,28.7,,86086.0,Illinois,58099.0,51
29998.0,2773.0,Charleston,103.7,3929.0,35.0,633.0,135524.0,South Carolina,104016.0,70
301568.0,55399.0,Charlotte,99.4,113731.0,34.3,8746.0,827121.0,North Carolina,446795.0,65
59918.0,4602.0,Chattanooga,92.6,10918.0,36.6,1092.0,176597.0,Tennessee,114140.0,73
873316.0,195084.0,Chicago,102.0,785725.0,34.2,23323.0,2720556.0,Illinois,1374535.0,51
3164.0,6101.0,Chico,111.2,15578.0,29.9,2766.0,90336.0,California,80467.0,49
